Fund Name,URL
360 One Balanced Hybrid Fund Direct Growth,https://www.dezerv.in/mutual-funds/360-one-balanced-hybrid-fund-direct-growth-inf579m01ay9/
360 One Balanced Hybrid Fund Regular Growth,https://www.dezerv.in/mutual-funds/360-one-balanced-hybrid-fund-regular-growth-inf579m01av5/
360 One Dynamic Bond Fund Direct Growth,https://www.dezerv.in/mutual-funds/360-one-dynamic-bond-fund-direct-growth-inf579m01266/
360 One Dynamic Bond Fund Regular Growth,https://www.dezerv.in/mutual-funds/360-one-dynamic-bond-fund-regular-growth-inf579m01183/
360 One Elss Nifty 50 Tax Saver Index Fd Direct Growth,https://www.dezerv.in/mutual-funds/360-one-elss-nifty-50-tax-saver-index-fd-direct-growth-inf579m01an2/
360 One Elss Nifty 50 Tax Saver Index Fd Regular Growth,https://www.dezerv.in/mutual-funds/360-one-elss-nifty-50-tax-saver-index-fd-regular-growth-inf579m01al6/
360 One Flexicap Fund Direct Growth,https://www.dezerv.in/mutual-funds/360-one-flexicap-fund-direct-growth-inf579m01as1/
360 One Flexicap Fund Regular Growth,https://www.dezerv.in/mutual-funds/360-one-flexicap-fund-regular-growth-inf579m01ap7/
360 One Focused Equity Fund Direct Growth,https://www.dezerv.in/mutual-funds/360-one-focused-equity-fund-direct-growth-inf579m01902/
360 One Focused Equity Fund Regular Growth,https://www.dezerv.in/mutual-funds/360-one-focused-equity-fund-regular-growth-inf579m01878/
360 One Gold Etf,https://www.dezerv.in/mutual-funds/360-one-gold-etf-inf579m01bb5/
360 One Liquid Fund Direct Growth,https://www.dezerv.in/mutual-funds/360-one-liquid-fund-direct-growth-inf579m01621/
360 One Liquid Fund Regular Growth,https://www.dezerv.in/mutual-funds/360-one-liquid-fund-regular-growth-inf579m01506/
360 One Multi Asset Allocation Fund Direct Growth,https://www.dezerv.in/mutual-funds/360-one-multi-asset-allocation-fund-direct-growth-inf579m01bm2/
360 One Multi Asset Allocation Fund Regular Growth,https://www.dezerv.in/mutual-funds/360-one-multi-asset-allocation-fund-regular-growth-inf579m01bj8/
360 One Overnight Fund Direct Growth,https://www.dezerv.in/mutual-funds/360-one-overnight-fund-direct-growth-inf579m01bg4/
360 One Overnight Fund Regular Growth,https://www.dezerv.in/mutual-funds/360-one-overnight-fund-regular-growth-inf579m01bd1/
360 One Quant Fund Direct Growth,https://www.dezerv.in/mutual-funds/360-one-quant-fund-direct-growth-inf579m01ai2/
360 One Quant Fund Regular Growth,https://www.dezerv.in/mutual-funds/360-one-quant-fund-regular-growth-inf579m01af8/
360 One Silver Etf,https://www.dezerv.in/mutual-funds/360-one-silver-etf-inf579m01bc3/
Abakkus Flexi Cap Fund Direct Growth,https://www.dezerv.in/mutual-funds/abakkus-flexi-cap-fund-direct-growth-inf2jjd01136/
Abakkus Flexi Cap Fund Regular Growth,https://www.dezerv.in/mutual-funds/abakkus-flexi-cap-fund-regular-growth-inf2jjd01169/
Abakkus Liquid Fund Direct Growth,https://www.dezerv.in/mutual-funds/abakkus-liquid-fund-direct-growth-inf2jjd01029/
Abakkus Liquid Fund Regular Growth,https://www.dezerv.in/mutual-funds/abakkus-liquid-fund-regular-growth-inf2jjd01078/
Abakkus Small Cap Fund Direct Growth,https://www.dezerv.in/mutual-funds/abakkus-small-cap-fund-direct-growth-inf2jjd01177/
Abakkus Small Cap Fund Regular Growth,https://www.dezerv.in/mutual-funds/abakkus-small-cap-fund-regular-growth-inf2jjd01185/
Aditya Birla Sun Life Active Debt Multimanager Fof Scheme Direct Growth,https://www.dezerv.in/mutual-funds/aditya-birla-sun-life-active-debt-multimanager-fof-scheme-direct-growth-inf084m01dp2/
Aditya Birla Sun Life Active Debt Multimanager Fof Scheme Regular Growth,https://www.dezerv.in/mutual-funds/aditya-birla-sun-life-active-debt-multimanager-fof-scheme-regular-growth-inf084m01ah5/
Aditya Birla Sun Life Arbitrage Fund Direct Growth,https://www.dezerv.in/mutual-funds/aditya-birla-sun-life-arbitrage-fund-direct-growth-inf209k01vp1/
Aditya Birla Sun Life Arbitrage Fund Regular Growth,https://www.dezerv.in/mutual-funds/aditya-birla-sun-life-arbitrage-fund-regular-growth-inf209k01264/
Aditya Birla Sun Life Asset Allocator Fof Direct Growth,https://www.dezerv.in/mutual-funds/aditya-birla-sun-life-asset-allocator-fof-direct-growth-inf084m01dm9/
Aditya Birla Sun Life Asset Allocator Fof Regular Growth,https://www.dezerv.in/mutual-funds/aditya-birla-sun-life-asset-allocator-fof-regular-growth-inf084m01ae2/
Aditya Birla Sun Life Bal Bhavishya Yojna Direct Growth,https://www.dezerv.in/mutual-funds/aditya-birla-sun-life-bal-bhavishya-yojna-direct-growth-inf209kb1e84/
Aditya Birla Sun Life Bal Bhavishya Yojna Regular Growth,https://www.dezerv.in/mutual-funds/aditya-birla-sun-life-bal-bhavishya-yojna-regular-growth-inf209kb1e76/
Aditya Birla Sun Life Balanced Advantage Fund Direct Growth,https://www.dezerv.in/mutual-funds/aditya-birla-sun-life-balanced-advantage-fund-direct-growth-inf084m01dj5/
Aditya Birla Sun Life Balanced Advantage Fund Regular Growth,https://www.dezerv.in/mutual-funds/aditya-birla-sun-life-balanced-advantage-fund-regular-growth-inf084m01ab8/
Aditya Birla Sun Life Banking Financial Services Fund Direct Growth,https://www.dezerv.in/mutual-funds/aditya-birla-sun-life-banking-financial-services-fund-direct-growth-inf209k014w1/
Aditya Birla Sun Life Banking Financial Services Fund Regular Growth,https://www.dezerv.in/mutual-funds/aditya-birla-sun-life-banking-financial-services-fund-regular-growth-inf209k011w7/
Aditya Birla Sun Life Bse 500 Momentum 50 Index Fund Direct Growth,https://www.dezerv.in/mutual-funds/aditya-birla-sun-life-bse-500-momentum-50-index-fund-direct-growth-inf209kc1589/
Aditya Birla Sun Life Bse 500 Momentum 50 Index Fund Regular Growth,https://www.dezerv.in/mutual-funds/aditya-birla-sun-life-bse-500-momentum-50-index-fund-regular-growth-inf209kc1605/
Aditya Birla Sun Life Bse 500 Quality 50 Index Fund Direct Growth,https://www.dezerv.in/mutual-funds/aditya-birla-sun-life-bse-500-quality-50-index-fund-direct-growth-inf209kc1613/
Aditya Birla Sun Life Bse 500 Quality 50 Index Fund Regular Growth,https://www.dezerv.in/mutual-funds/aditya-birla-sun-life-bse-500-quality-50-index-fund-regular-growth-inf209kc1639/
Aditya Birla Sun Life Bse India Infrastructure Index Fund Direct Growth,https://www.dezerv.in/mutual-funds/aditya-birla-sun-life-bse-india-infrastructure-index-fund-direct-growth-inf209kc1332/
Aditya Birla Sun Life Bse India Infrastructure Index Fund Regular Growth,https://www.dezerv.in/mutual-funds/aditya-birla-sun-life-bse-india-infrastructure-index-fund-regular-growth-inf209kc1357/
Aditya Birla Sun Life Bse Top 10 Banks Etf,https://www.dezerv.in/mutual-funds/aditya-birla-sun-life-bse-top-10-banks-etf-inf209kc1670/
Aditya Birla Sun Life Business Cycle Fund Direct Growth,https://www.dezerv.in/mutual-funds/aditya-birla-sun-life-business-cycle-fund-direct-growth-inf209kb14d2/
Aditya Birla Sun Life Business Cycle Fund Regular Growth,https://www.dezerv.in/mutual-funds/aditya-birla-sun-life-business-cycle-fund-regular-growth-inf209kb12d6/
Aditya Birla Sun Life Commodity Equity Global Agricultural Direct Growth,https://www.dezerv.in/mutual-funds/aditya-birla-sun-life-commodity-equity-global-agricultural-direct-growth-inf209k01vl0/
Aditya Birla Sun Life Commodity Equity Global Agricultural Regular Growth,https://www.dezerv.in/mutual-funds/aditya-birla-sun-life-commodity-equity-global-agricultural-regular-growth-inf209k01207/
Aditya Birla Sun Life Conglomerate Fund Direct Growth,https://www.dezerv.in/mutual-funds/aditya-birla-sun-life-conglomerate-fund-direct-growth-inf209kc1373/
Aditya Birla Sun Life Conglomerate Fund Regular Growth,https://www.dezerv.in/mutual-funds/aditya-birla-sun-life-conglomerate-fund-regular-growth-inf209kc1399/
Aditya Birla Sun Life Crisil 10 Year Gilt Etf,https://www.dezerv.in/mutual-funds/aditya-birla-sun-life-crisil-10-year-gilt-etf-inf209kc1142/
Aditya Birla Sun Life Crisil Broad Based Gilt Etf,https://www.dezerv.in/mutual-funds/aditya-birla-sun-life-crisil-broad-based-gilt-etf-inf209kc1134/
